Probe	HGG184.rcc	HGG185.rcc	HGG187.rcc	HGG190.rcc	HGG191.rcc	HGG192.rcc	HGG193.rcc	HGG198.rcc	HGG199.rcc	HGG202.rcc	LGG1352.rcc	LGG1353.rcc	LGG1357.rcc	LGG1358.rcc	LGG1361.rcc	LGG1380.rcc	LGG1390.rcc	LGG1395.rcc	LGG1414.rcc	LGG1425.rcc	NB_01.rcc	NB_02.rcc	NB_03.rcc	NB_04.rcc	NB_05.rcc
Endogenous_CKMT2_NM_001099735.1	81	78	153	95	100	130	31	122	198	22	451	255	213	182	538	227	230	64	244	1135	569	487	351	343	499
Endogenous_STAT3_NM_003150.3	8203	3525	7512	8188	8769	6852	11963	6738	8587	15841	13649	8952	4109	8194	11403	10661	4057	11583	4334	6842	3995	4748	4454	2959	4040
Endogenous_ARID2_NM_152641.2	2796	2454	3267	2743	3318	1732	1399	3838	6210	3474	2390	2068	1631	2012	1759	2105	1308	2436	1384	1741	1348	1210	1160	943	793
Endogenous_GZMK_NM_002104.2	41	57	21	16	114	96	71	17	95	9	90	24	17	82	133	401	12	415	20	41	16	26	39	21	32
Endogenous_TIGIT_NM_173799.2	5	2	5	5	4	2	7	3	26	6	6	6	6	4	7	9	11	8	20	11	7	7	2	3	2
Endogenous_GZMB_NM_004131.3	15	9	33	19	31	17	71	20	69	9	119	37	35	22	33	26	24	63	31	17	7	41	76	15	12
Endogenous_IL4_NM_000589.2	11	5	5	16	11	6	10	7	34	15	12	6	18	9	12	21	14	21	24	4	7	22	6	11	5
Endogenous_CD7_NM_006137.6	47	32	17	14	47	27	182	34	9	164	122	22	19	26	41	45	7	144	35	37	11	42	150	12	11
Endogenous_CD86/B7-2_NM_175862.3	314	59	111	55	65	113	130	64	52	62	499	255	191	281	324	451	84	611	126	211	68	192	156	91	78
Endogenous_PDCD1_NM_005018.2	24	17	12	10	28	19	17	24	60	25	30	14	6	18	27	33	6	54	24	19	9	11	10	11	9
Endogenous_MRC1_NM_002438.2	59	89	245	147	388	509	553	223	293	355	249	300	589	150	855	752	788	728	326	315	571	955	633	483	1063
Endogenous_IL12a_NM_000882.2	162	55	112	52	119	352	236	1195	78	161	86	89	171	100	170	99	100	79	130	95	65	99	92	54	51
Endogenous_OMD_NM_005014.2	16	5	26	20	63	89	75	115	52	15	59	60	190	501	191	136	151	1564	59	114	176	167	303	224	265
Endogenous_HHLA2/B7-H7_NM_001282556.1	8	4	7	6	3	7	8	17	9	15	11	9	13	9	11	12	7	13	31	15	14	21	18	11	9
Endogenous_CTLA4_NM_005214.3	80	76	22	26	105	31	40	71	43	34	113	50	42	88	96	162	33	406	35	26	38	45	61	20	24
Endogenous_GBP1_NM_002053.1	3302	996	327	141	655	664	4479	253	637	627	907	1265	256	1328	1706	3777	351	2272	326	354	296	739	1529	145	204
Endogenous_CD163_NM_004244.4	3435	76	354	568	189	756	2176	20	345	411	4133	273	71	442	2416	942	76	5635	75	166	95	731	281	85	433
Endogenous_CXCR6_NM_006564.1	51	24	13	19	56	63	27	10	17	22	56	23	6	35	98	170	7	177	16	22	25	24	10	12	17
Endogenous_FASLG_NM_000639.1	17	10	11	12	28	17	27	7	52	6	42	17	14	33	56	124	10	132	31	11	18	11	20	8	22
Endogenous_CSF1R_NM_005211.2	4133	569	1192	447	504	1391	453	1391	784	1171	4565	2171	2326	1864	2471	3359	798	2373	1738	1391	1763	2264	2031	921	979
Endogenous_VEGFA_NM_001025366.1	1249	2459	5210	14911	2856	6487	22481	1529	11713	6006	3273	1877	1574	13794	2708	1873	1644	2904	2159	3089	2646	3976	2581	2439	2969
Endogenous_VTCN1/B7-H4_NM_024626.2	6	3	2	4	7	6	8	17	34	9	11	6	6	10	4	12	2	8	4	11	5	7	6	4	5
Endogenous_TAPBP_NM_003190.4	2405	1470	1476	2369	1844	2225	3139	1793	3126	2188	9187	3722	2415	3404	5905	7406	2848	4741	2029	3544	2693	3075	4304	2997	3123
Endogenous_CSF2_NM_000758.2	10	6	6	15	7	8	14	7	52	12	15	24	24	8	30	31	20	30	39	17	14	29	8	4	10
Endogenous_CD47_NM_001777.3	626	1166	841	798	721	1697	1519	874	741	1375	2146	1261	1224	2360	1165	1331	1586	1725	3732	2448	3016	3367	5042	3962	2975
Endogenous_HLA-DQA1_NM_002122.3	7214	971	290	336	2510	5	809	17	43	15	5962	2607	214	5055	5189	18	9	9634	31	485	9	867	678	95	8
Endogenous_ADAMDEC1_NM_014479.2	16	189	255	42	320	264	82	14	95	40	76	10	4	27	31	56	10	82	12	24	11	17	66	7	11
Endogenous_TAP2_NM_000544.3	1423	886	1035	1044	1288	1154	889	527	965	770	3898	1134	766	1474	1911	2712	883	969	641	1247	655	823	1714	653	905
Endogenous_BRD7_NM_001173984.2	1922	1387	2357	1854	2233	3191	1172	1752	1559	754	719	1850	1214	1778	1434	1708	746	1596	1699	1122	1395	1551	1464	1606	1545
Endogenous_LAMP1_NM_005561.3	483	365	864	712	876	1727	2246	250	715	1280	282	1623	131	328	1012	2870	116	1189	641	211	591	990	1619	888	397
